run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,263095,37.17,1133.98,,,,,,,,,,,0.0,11977,0,
2,299868,41.09,1283.52,,,,,,,,,,,0.0,10629,0,
3,805423,44.93,1241.87,,,,,,,,,,,0.0,12904,0,
4,118107,43.43,1145.91,,,,,,,,,,,0.0,11175,0,
5,187053,41.69,1185.17,,,,,,,,,,,0.0,12143,0,
