run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,427440,0.07,3820.66,,,,,,,,,,36144428.56,56.2,9293,9785,
2,829572,0.08,4203.5,,,,,,,,,,68.12,59.2,7909,9766,
3,438184,0.09,3483.05,,,,,,,,,,73.12,57.3,10422,9789,
4,680719,0.13,5189.46,,,,,,,,,,69.53,59.1,8357,9784,
5,940292,0.17,3897.74,,,,,,,,,,69.47,56.6,8105,9782,
