run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,387121,41.89,1323.4,,,,,,,,,,,0.0,7557,0,
2,117428,46.84,1286.5,,,,,,,,,,,0.0,8177,0,
3,313769,45.46,1296.74,,,,,,,,,,,0.0,8199,0,
4,546453,50.32,1430.48,,,,,,,,,,,0.0,9781,0,
5,839263,41.8,1424.29,,,,,,,,,,,0.0,9109,0,
