run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,876055,0.1,2613.4,,,,,,,,,,65040413.57,65.8,9643,9761,
2,665464,0.11,2799.06,,,,,,,,,,62.82,63.6,8961,9774,
3,387546,0.18,2920.03,,,,,,,,,,62.03,65.2,9047,9772,
4,758674,0.18,4519.17,,,,,,,,,,3025454.91,67.1,9790,9755,
5,539973,0.1,5094.55,,,,,,,,,,24881682.85,60.7,9944,9779,
