time,n,rpl_dio_mean,rpl_dio_std,rpl_dis_mean,rpl_dis_std,rpl_dao_mean,rpl_dao_std,rpl_total_mean,rpl_total_std,adhoc_tx_mean,adhoc_tx_std,adhoc_rx_mean,adhoc_rx_std,conv_count_mean,conv_count_std,first_conv_mean,first_conv_std,last_conv_mean,last_conv_std,avg_conv_mean,avg_conv_std,avg_va_mean,avg_va_std,max_va_mean,max_va_std,perfect_pct_mean,perfect_pct_std,avg_eta_sc_mean,avg_eta_sc_std,min_eta_sc_mean,min_eta_sc_std,max_eta_sc_mean,max_eta_sc_std,udp_pdr_mean,udp_pdr_std,udp_latency_mean,udp_latency_std,udp_buf_drop_mean,udp_buf_drop_std,energest_cpu_mean,energest_cpu_std,energest_lpm_mean,energest_lpm_std,energest_tx_mean,energest_tx_std,energest_rx_mean,energest_rx_std,energest_total_mean,energest_total_std,power_cpu_mean,power_cpu_std,power_lpm_mean,power_lpm_std,power_tx_mean,power_tx_std,power_rx_mean,power_rx_std,power_total_mean,power_total_std
300.0,2,155.5,34.64823227814083,24.0,0.0,36.5,0.7071067811865476,216.0,33.94112549695428,260.0,1.4142135623730951,945.5,2.1213203435596424,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.585,0.5161879502661797,2.0,1.4142135623730951,55.45,32.17335854398791,100.0,0.0,100.0,0.0,100.0,0.0,49.769999999999996,3.7335238046649666,956.575,455.28484320258235,65.5,34.64823227814083,11838077.5,442338.4251458378,74670991.5,441180.18423825427,223655.0,4782.870267945807,16085064.5,3272647.8681435464,86509069.0,1158.2409075835649,0.78,0.029132799384885767,0.1411,0.000848528137423842,0.15515,0.00332340187157678,9.873149999999999,2.0086782333166258,10.9494,2.0402859064356633
300.1,3,135.66666666666666,34.122328955294556,23.666666666666668,4.725815626252609,33.0,5.291502622129181,192.33333333333334,40.463975747982715,259.6666666666667,3.0550504633038935,793.0,27.730849247724095,11.0,0.0,60.22666666666667,22.72025601381581,149.32333333333332,43.98528428160188,97.48666666666668,19.84682678246912,1.0433333333333332,0.5300314456080255,4.666666666666667,2.8867513459481287,54.833333333333336,2.136195996001613,100.0,0.0,100.0,0.0,100.0,0.0,35.86333333333334,3.8064331510396094,917.39,80.110360753151,97.0,2.6457513110645907,11550954.0,193745.15022575404,74957889.66666667,192671.87502158518,199033.66666666666,11085.984860775037,17159764.666666668,4832336.369340438,86508843.66666667,1155.8703791227342,0.7610666666666667,0.012742187148732872,0.14166666666666666,0.0003511884584284136,0.13803333333333334,0.007703462424996527,10.532833333333334,2.9659499748534754,11.573599999999999,2.969351046946117
600.1,2,197.0,59.39696961966999,27.0,1.4142135623730951,58.5,21.920310216782973,282.5,82.73149339882606,522.5,3.5355339059327378,2388.5,106.77312395916867,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.79,0.6081118318204308,2.5,0.7071067811865476,45.900000000000006,31.53696244092002,100.0,0.0,100.0,0.0,100.0,0.0,53.365,3.6133156518632576,678.0699999999999,193.47855746826315,103.0,59.39696961966999,26208503.5,1001494.4260775993,168440185.0,992998.538101643,516666.0,22474.681933233227,20173543.0,3402275.3903774456,194648688.5,8495.887975956368,0.7675000000000001,0.029274220741123062,0.14150000000000001,0.0008485281374238617,0.1593,0.006929646455628168,5.503299999999999,0.9278655182729876,6.57155,0.9632915680104339
600.2,3,196.66666666666666,68.53709457901854,27.666666666666668,5.033222956847166,61.0,30.512292604784715,285.3333333333333,103.61627928724971,523.3333333333334,2.516611478423583,1974.0,102.05880657738459,11.0,0.0,60.22666666666667,22.72025601381581,149.32333333333332,43.98528428160188,97.48666666666668,19.84682678246912,0.5,0.5020956084253277,2.0,1.0,64.23333333333333,31.147123997784025,100.0,0.0,100.0,0.0,100.0,0.0,38.86000000000001,3.8192538538306153,643.7166666666667,104.09864808600221,184.0,3.605551275463989,25701797.0,923914.8417056628,168944300.0,919925.1016561077,463549.6666666667,6582.232929130762,21650764.333333332,6074487.448503481,194646097.0,4136.5950974201,0.7526333333333333,0.02704391490397301,0.1419,0.0007937253933193789,0.1429,0.002022374841615666,5.906366666666667,1.6570344484449724,6.943833333333333,1.6838657913662045
900.1,2,248.0,4.242640687119285,30.5,2.1213203435596424,67.0,9.899494936611665,345.5,12.020815280171307,786.0,2.8284271247461903,3866.0,339.4112549695428,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.41000000000000003,0.21213203435596428,2.5,0.7071067811865476,77.7,9.616652224137042,100.0,0.0,100.0,0.0,100.0,0.0,59.17,4.5820519420888255,646.925,115.32204494371406,120.0,79.19595949289332,42558705.0,768903.6712215646,259416669.0,377791.59683878627,874533.0,35030.069939981564,25340328.0,2136076.2478694436,302782334.0,5481.491767758116,0.8012,0.014424978336205551,0.14005,0.0002121320343559605,0.1733,0.006929646455628168,4.44405,0.37455446199451425,5.5586,0.39612121882070395
900.2,2,227.0,41.012193308819754,27.0,1.4142135623730951,48.0,11.313708498984761,302.0,53.74011537017761,789.0,2.8284271247461903,3216.0,321.02647865869255,11.0,0.0,71.265,17.359471478129745,173.255,20.8101525703201,108.94,0.848528137423859,0.62,0.3252691193458118,2.5,0.7071067811865476,57.75,17.324116139070416,100.0,0.0,100.0,0.0,100.0,0.0,42.42,2.06475180106472,521.37,76.01397897755386,245.5,3.5355339059327378,40849969.0,114921.82250556245,260988015.5,1442836.5377687453,777224.5,20330.02706589443,22110695.5,447511.61835699866,302776997.5,50.204581464244875,0.76905,0.002192031021678291,0.14095,0.0007778174593051951,0.15405000000000002,0.004030508652763328,3.8777,0.07848885271170661,4.9417,0.07311484117468944
900.3,1,355.0,0.0,37.0,0.0,111.0,0.0,503.0,0.0,783.0,0.0,3366.0,0.0,11.0,0.0,38.15,0.0,101.46,0.0,74.58,0.0,0.4,0.0,2.0,0.0,60.9,0.0,100.0,0.0,100.0,0.0,100.0,0.0,49.18,0.0,645.09,0.0,258.0,0.0,42645689.0,0.0,260132398.0,0.0,803807.0,0.0,32688329.0,0.0,302778087.0,0.0,0.8028,0.0,0.1405,0.0,0.1593,0.0,5.7327,0.0,6.8353,0.0
1200.1,1,342.0,0.0,36.0,0.0,71.0,0.0,449.0,0.0,1050.0,0.0,5137.0,0.0,11.0,0.0,80.87,0.0,119.3,0.0,87.97,0.0,0.31,0.0,4.0,0.0,77.3,0.0,100.0,0.0,100.0,0.0,100.0,0.0,59.48,0.0,758.72,0.0,186.0,0.0,59415202.0,0.0,346160908.0,0.0,1234396.0,0.0,28132124.0,0.0,410913501.0,0.0,0.8242,0.0,0.1377,0.0,0.1802,0.0,3.6354,0.0,4.7775,0.0
1200.2,1,257.0,0.0,29.0,0.0,74.0,0.0,360.0,0.0,1054.0,0.0,5706.0,0.0,11.0,0.0,62.74,0.0,137.88,0.0,81.96,0.0,0.12,0.0,1.0,0.0,88.2,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.01,0.0,560.27,0.0,65.0,0.0,59538568.0,0.0,351383607.0,0.0,1285592.0,0.0,31151930.0,0.0,410922175.0,0.0,0.8259,0.0,0.1398,0.0,0.1877,0.0,4.0255,0.0,5.1789,0.0
1200.3,2,423.5,106.77312395916867,40.0,2.8284271247461903,104.0,29.698484809834994,567.5,139.30003589374985,1050.5,3.5355339059327378,4597.5,4.949747468305833,11.0,0.0,48.57,14.736105319927653,130.0,40.36165507012813,92.06,24.720453070281707,0.925,0.3889087296526011,4.5,0.7071067811865476,48.65,18.5969083452062,100.0,0.0,100.0,0.0,100.0,0.0,49.36,2.4183051916579936,539.015,146.0104792472102,316.5,0.7071067811865476,57661881.0,2837032.6142732305,351328492.0,119300.22769466955,1150242.0,6882.9774080698535,32037778.5,6693259.951570721,410912426.0,461.033621333629,0.79985,0.03938584771209068,0.1398,0.0,0.16795,0.0010606601717798223,4.1401,0.8649330147473845,5.2477,0.9052381012750186
