run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,727614,45.04,1231.6,,,,,,,,,,,0.0,7897,0,
2,275396,41.41,1283.5,,,,,,,,,,,0.0,6260,0,
3,251368,44.46,1018.45,,,,,,,,,,,0.0,5495,0,
4,800509,44.48,981.14,,,,,,,,,,,0.0,5810,0,
5,803299,42.15,1183.45,,,,,,,,,,,0.0,5956,0,
