run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,186661,0.1,3838.06,,,,,,,,,,59.96,63.5,7222,8194,
2,226572,0.32,1864.93,,,,,,,,,,30214361.36,63.1,6703,8192,
3,390665,0.14,5354.95,,,,,,,,,,59.76,61.5,7492,8188,
4,778036,0.15,5414.37,,,,,,,,,,74.96,54.4,6171,8204,
5,584599,0.12,6610.63,,,,,,,,,,62.81,64.2,8106,8174,
