# power_tx
# 10-min intervals, n=5 runs, mean +- std
# columns:  time_min   mean   std   n_runs
      10           0.0909           0.0111   5
      20           0.1425           0.0195   5
      30           0.1859           0.0161   5
      40           0.2104           0.0131   5
      50           0.2259           0.0076   5
      60           0.2374           0.0053   5
