run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,726998,52.09,1152.11,,,,,,,,,,,0.0,7346,0,
2,208183,46.28,1376.81,,,,,,,,,,,0.0,8099,0,
3,950312,47.36,1120.22,,,,,,,,,,,0.0,7492,0,
4,997353,43.61,1236.81,,,,,,,,,,,0.0,7709,0,
5,774831,46.19,1205.21,,,,,,,,,,,0.0,7040,0,
