run_index,seed,pdr,latency,dao_pdr,p6_add,p6_del,p6_succ,p6_fail,p6_total,dio_tx,dio_rx,net_conv,avg_va,avg_eta,rpl_total,adhoc_tx,power_on
1,180407,0.12,6832.86,,,,,,,,,,1502027.37,56.6,8954,9779,
2,308648,0.13,2386.21,,,,,,,,,,77.36,52.3,7085,9793,
3,675140,0.15,3690.14,,,,,,,,,,65.74,60.2,8624,9770,
4,369943,0.09,1664.74,,,,,,,,,,70.92,56.3,7933,9778,
5,403571,0.16,4472.47,,,,,,,,,,71.09,58.5,8481,9778,
